,Player,Total Points,MatchesPlayed
0,Pardeep Narwal,271,26
1,Rohit Kumar,192,22
2,Ajay Thakur,182,22
3,Rahul Chaudhari,159,22
4,Monu Goyat,159,26
5,Maninder Singh,154,21
6,Nitin Tomar,135,20
7,Sachin,132,24
8,Deepak Niwas Hooda,127,24
9,Rishank Devadiga,126,21
10,K. Prapanjan,104,22
11,Pawan Kumar Kadian,95,21
12,Wazir Singh,86,21
13,Anup Kumar,84,21
14,Kashiling Adake,81,20
15,Jang Kun Lee,80,21
16,Nilesh Salunke,78,21
17,Abolfazl Maghsodloumahali,77,19
18,Meraj Sheykh,76,20
19,Rajesh Mondal,75,24
20,Deepak Narwal,71,16
21,Shrikant Jadhav,70,19
22,Ajay Kumar,70,22
23,Prashanth Kumar Rai,62,16
24,Deepak Kumar Dahiya,61,16
25,Sukesh Hegde,58,18
26,Rohit Baliyan,55,17
27,Tushar Patil,49,17
28,Jasvir Singh,49,15
29,Nitin Rawal,49,21
30,CPO Surjeet Singh,47,17
31,Surender Singh,47,18
32,Vikash Khandola,44,9
33,Mahendra Ganesh Rajput,43,17
34,Chandran Ranjit,43,11
35,Rohit Gulia,33,19
36,Mahesh Goud,30,21
37,Shabeer Bappu,30,12
38,Sandeep Narwal,29,21
39,R. Sriram,29,11
40,Vinod Kumar,27,19
41,Mohsen Maghsoudloujafari,26,16
42,Vikas Kumar,26,14
43,Anand Patil,24,19
44,Dong Geon Lee,24,17
45,Darshan Kadian,24,16
46,Harish Naik,20,14
47,Vinod Kumar,20,21
48,Vijay,18,19
49,Ajit Singh,17,11
50,Ashish Kumar,16,20
51,Bhupender Singh,16,17
52,Rakesh Narwal,15,6
53,Vineet Sharma,15,18
54,Monu,15,19
55,More GB,13,6
56,Sunil Jaipal,13,13
57,Suresh Kumar,12,11
58,Rakshith,11,6
59,M. Thivakaran,11,9
60,Nitin Madane,11,12
61,Gurvinder Singh,10,9
62,Rohit Kumar Choudary,10,11
63,Ran Singh,10,23
64,Akshay Jadhav,9,10
65,Vikas Jaglan,8,13
66,Rajesh Narwal,7,16
67,Rakesh Kumar,7,10
68,Kuldeep Singh,7,20
69,Elangeshwaran R,7,5
70,D. Pradap,6,16
71,Shubham Ashok Palkar,6,8
72,Ashish Chhokar,6,5
73,Vinoth Kumar,5,4
74,Pawan Kumar Sehrawat,5,9
75,Mayur Shivtarkar,5,5
76,Farhad Rahimi Milaghardan,5,18
77,Mohan Raman G,4,4
78,Rahul Choudhary,4,5
79,Manjeet Chhillar,4,15
80,Ravi Dalal,3,5
81,Virender Wazir Singh,3,3
82,PO Surjeet Singh,3,24
83,Selvamani K,3,3
84,Deepak Kumar Rathee,3,6
85,Rohit,3,2
86,Jawahar Dagar,3,18
87,Sidharth,3,21
88,Sanoj Kumar,2,2
89,Ravindra Ramesh Kumawat,2,2
90,Hadi Tajik,2,9
91,Suresu Kumar,2,3
92,Nilesh Shinde,2,15
93,Shrikant Tewthia,2,23
94,Surender Nada,2,21
95,Ravinder Pahal,1,19
96,Santhosh B.S,1,9
97,Mohit Chhillar,1,20
98,Girish Maruti Ernak,1,21
99,Preetam Chhillar,1,16
100,David Shilisia J Mosambayi,1,2
101,Umesh Mhatre,1,5
102,Sagar B Krishna,1,17
103,Sunil Kumar,1,24
104,Yong Joo Ok,1,1
105,Gulveer Singh,1,4
106,Vishal,1,5
107,Bhavani Rajput,1,4
108,Rohit Kumar,1,7
109,Mahender Singh,1,22
110,Rinku Narwal,1,13
111,Vikrant,1,3
