,Team,Total Points,MatchesPlayed,Total Points Conceded,Successful Raids,Successful Tackles,Super Raid,Super Tackles,Inflicted,Conceded
0,Dabang Delhi K.C.,742,20,659,361,181,8,8,34,18
1,Bengal Warriors,718,20,623,340,182,15,12,34,17
2,Patna Pirates,666,20,671,303,174,13,24,28,24
3,Bengaluru Bulls,666,20,660,309,168,8,25,23,25
4,Haryana Steelers,662,20,648,290,181,14,14,28,23
5,Puneri Paltan,652,20,723,290,207,6,25,18,33
6,U Mumba,628,20,587,273,174,7,19,27,21
7,Jaipur Pink Panthers,626,20,644,261,189,7,32,19,23
8,Gujarat Fortunegiants,605,20,591,265,187,5,17,21,22
9,Tamil Thalaivas,578,20,695,275,160,4,13,14,30
10,Telugu Titans,564,18,603,273,162,9,21,13,22
11,U.P. Yoddha,551,18,570,223,177,5,16,21,22
